id,name,头像,类别,详情页,总点赞,总收藏,总评论,总分享,笔记数量,总互动量,门槛校验结果,收藏点赞比,评论点赞比,博主类型,投放建议
652bb119000000001f00610f,okgo妞,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30qae428ane005ofa6v0k1dnogd3fljo?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=ABERDiKHg90g4_DzUnCcNuKEhLK6AFp_VfBcFuvY6-YVk=,720,127,1234,10,1,2091,双门槛全部达标,0.176,1.714,普通低价值博主,转化比值一般，性价比偏低
65f3c4150000000012032484,卿爱的书,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30nor3nhona005p1mib5jjmp1m8b9so0?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=ABZ7atc0heN0_UU_VDXZzDYHatk12Xvh72xjLCWiUrbqQ=,96,12,16,4,1,128,双门槛全部达标,0.125,0.167,高讨论声量型,新品造势、品牌话题引爆，不适合直接带货转化
662e02af0000000004018fff,momo,https://sns-avatar-qc.xhscdn.com/avatar/651f8f91f150395ffb649d0d.jpg?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=ABa2wagLGdvd-QYjsuBzxlQ9Xh3-d73jHsE5YvIAM6ySY=,817,112,374,37,1,1340,双门槛全部达标,0.137,0.458,高讨论声量型,新品造势、品牌话题引爆，不适合直接带货转化
663ce1df000000001e0385ac,薄荷过敏,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo320rpahmu687040193mqqjebkgk5bqp8?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=ABsgmNxWE_NCN1Po1BTeeZHPa12eYKskwNtpv_LF8QgsA=,482,141,2775,274,1,3672,双门槛全部达标,0.293,5.757,普通低价值博主,转化比值一般，性价比偏低
6699b7150000000003026bc1,Shanghai sights,https://sns-avatar-qc.xhscdn.com/avatar/5fb1d59773e5e30001ee7c0e.jpg?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=AB9jJraMCxsqCjsVzReOXInuQi47Hj9ZdOIGVWlQc4zUc=,438,56,48,53,1,595,双门槛全部达标,0.128,0.11,普通低价值博主,转化比值一般，性价比偏低
66b55ac1000000001e01b701,孙少也,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo311f37e2tmg0048cpjrllt57k7jv3ttg?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=ABrMymRfE1UayQzhBQUOZ4L4Jk2aNNdoiMkx6nLVgcBkg=,2130,647,79,71,1,2927,双门槛全部达标,0.304,0.037,高收藏带货型,优先复投，适合挂车、引导搜索转化，深度年框/独家合作
66c69d61000000001d039ab5,Missyaa,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31coajircgk004a1cvlah89o95hiuuq8?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=ABx8g2ExXUMJA9LxAfZRGiMCkkpL6vz9YfhMm3Lf_wpEo=,9643,1715,231,878,1,12467,双门槛全部达标,0.178,0.024,普通低价值博主,转化比值一般，性价比偏低
66e62a48000000001e01b6a0,明星同款style,https://sns-avatar-qc.xhscdn.com/avatar/644ba521bb7ee62fdf92851a.jpg?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=ABmEGAQ8bU8C-bV7JT4SqwCVUP915SC6nkYGXX09X9WYk=,5603,2264,6,179,1,8052,双门槛全部达标,0.404,0.001,高收藏带货型,优先复投，适合挂车、引导搜索转化，深度年框/独家合作
66f164f3000000002a035cde,wang*zzi,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3106t6tl362005o6b74008cd83el6neg?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=ABgEcPaioZnExuUsFZQ-3d8_LJukQZJiUlACg6eeMj1Hc=,3206,670,30,138,1,4044,双门槛全部达标,0.209,0.009,普通低价值博主,转化比值一般，性价比偏低
670cc4c5000000001b02f863,李饱饱,https://sns-avatar-qc.xhscdn.com/avatar/6125f1dc268ac6a31b78da4d.jpg?imageView2/2/w/80/format/jpg,穿搭,https://www.xiaohongshu.com/explore/68a6f57a000000001c034c0a?xsec_token=ABjGoHGV2kqk_28NQtjMNmMc3dXSX_h6tXmmf9dE0m96M=,1607,435,61,112,1,2215,双门槛全部达标,0.271,0.038,普通低价值博主,转化比值一般，性价比偏低
