标题,状态,价格,需求分类,任务描述,详情链接
Hyperliquid抓取链上数据并分析,进行中,5000元,数据处理软件开发,【核心目标】 本次需求的核心是开发一款数据处理软件。 【具体要求】 开发模式为定制开发，软件功能为其他，使用GO语言进行，主要与Hyperliquid链进行交互，目前已经有现成的开发框架，包括需要抓取的数字字段及用于分析筛选的字段。,https://www.zbj.com/xq/6bqLwMglQVvJEe7K.html
一次性抓取单个网站的数据,进行中,300元,其他数据服务,- 抓取某个网站上的基础信息 - 非常简单，只是稍微耗时间一些 - 方式不限，但是要确保数据准确,https://www.zbj.com/xq/0lALvbXUxq7YDuz0.html
找人开发数据抓取工具,进行中,待服务商报价,数据处理软件开发,• 应用场景：给定三个网站，通过传输关键词后，从它们那里获取相关数据及其附件。,https://www.zbj.com/xq/YjNCg7wplsr1njwM.html
定制网页数据抓取处理软件开发招标,进行中,待服务商报价,数据处理软件开发,现招标定制开发一款网页数据抓取处理软件，功能方向为其他相关类，欢迎有相关经验的服务商投标，具体细节可进一步沟通。,https://www.zbj.com/xq/hgkiF8Zk3R3NUFL2.html
抓取特定网站一些数据,进行中,待服务商报价,数据开发,用python脚本编写程序，抓取指定某网站上的相关小区的测评和点评信息。 详细需求说明见文档,https://www.zbj.com/xq/PTptAuDe4erdK7zK.html
数据抓取， 整理清洗,进行中,待服务商报价,数据分析,需要长期固定合作，抓取网站或者APP数据特定， 整理形成结构化报告。,https://www.zbj.com/xq/UAnbMDrwUTz3FPd6.html
我需要网页数据抓取软件开发,进行中,待服务商报价,数据处理软件开发,网页数据抓取服务—不同设备类型（双向变流装置、能馈装置、充电装置、调度系统、能量管控平台等）的公开招投标数据，数量、价格、需求方、供货商等等 需要从招投标网页上抓取,https://www.zbj.com/xq/Fuxf0dVTwhUjF5xJ.html
python 抓取自己店铺电商的订单数据,进行中,300元,数据挖掘,抓取速卖通后台的订单数据，登入的反爬验证，如果比较难，可以人工介入输入账号密码； 1.输入账号密码登入速卖通卖家后台 这个地方可以停留，人工介入，输入订单筛选条件 2.抓取里面的销售订单数据。订单号 3.逐个进入每一笔订单，抓取里面的，订单金额，佣金，预计可得等等； 4.把抓取的数据保存到excel表中或者后台数据库中；,https://www.zbj.com/xq/XgMPYqJSRCHcOGHf.html
数据抓取,进行中,待服务商报价,其他数据服务,数据抓取,https://www.zbj.com/xq/QInHivb91TpBdUm1.html
数据抓取,进行中,5000元,网站定制开发,抓取指定网站数据，并按照规则建立模型。,https://www.zbj.com/xq/36aOyariGgwxLgMu.html
数据抓取,进行中,30000元,数据分析,我需要软件开发,https://www.zbj.com/xq/A68C21FSq6IzImjU.html
数据抓取,进行中,10000-15000元,其他数据服务,**行业，需要有杭州的****,https://www.zbj.com/xq/KMoyBaP4OLSicmlK.html
python数据抓取及图片抓取,进行中,1800元,数据开发,根据某一条件抓取，形成列表；将列表中到另一地址查询；将查询结果页面以图片形式进行保存。,https://www.zbj.com/xq/absRMkxuwArylEVW.html
信息数据抓取,进行中,500-1500元,数据计算,见需求，有成熟的经验再联系， 没做过，不会处理需求中的核心问题不要联系，以目标为导向，只能能实现不限语言,https://www.zbj.com/xq/a22h2oP3aRlO69mp.html
数据收集，数据抓取,进行中,500-1000元,其他微信开发,1、**小程序模拟**点击，抓取图片功能（有页面滚动的需要抓全图） 2、抓取小程序“研新生考研”》调剂天眼 3、抓取的数据：找院校、查专业、调剂天眼,https://www.zbj.com/xq/drKXNWTM66VwBfg4.html
开发数据抓取,进行中,8000元,数据开发,要用某个关键字定期搜索下社交网络，然后把搜索结果的标题导入数据库，并进行情感分析 社交网络 支持 B 微 抖 要有源代码，用python 语言，scrapy框架 针对网站的cookie部分可以用半自动的。我定期抓取登录后的cookie导入程序,https://www.zbj.com/xq/CQ06uTd7jR05ikN3.html
app数据抓取,进行中,待服务商报价,数据分析,• 应用场景：抓取APP,https://www.zbj.com/xq/rgs5t2Q04uHKdydG.html
数据抓取服务,进行中,200元,其他数据服务,我是个人 我喜欢玩ZHUCAI 我分析ZHUCAI喜欢用EXEL表格 我需要一个网络数据抓取工具，按照我需要的EXEL格式。,https://www.zbj.com/xq/571xbzpZWvnTJOxK.html
python数据抓取,进行中,100元,数据可视化,python数据抓取,https://www.zbj.com/xq/SOJzPYU34CW0IVkW.html
国外app数据抓取,进行中,3000元,数据开发,国外app，我们自己有登录账号和密码，要求抓取订单 api ，获取 店铺信息，配送距离，配送地址，骑手佣金信息 长期数据抓取，有需要可以部署到我们自己的服务器,https://www.zbj.com/xq/I4WGE08HVKz4Y5sQ.html
社媒app数据抓取,进行中,5000元,其他数据服务,采集各大主流社交平台数据,https://www.zbj.com/xq/C3LzNnrqXALq0DIB.html
网页数据抓取采集商品描述图片文件,已完结,1500元,数据获取,采集网站：三个品牌厂家官网 采集内容：商品描述信息、图片、PDF附件 商品数量：约9千个商品左右，3个站数量分别在5k、1.5k、2.5k 期望交付周期：1周左右 具体采集要求及说明见附件 真实需求！急！后续长期有需求~ 注意！需开票！ • 企业信息 所属行业：零售业 | 成立时间：1996年05月 | 公司规模 ：1000 - 4999,https://www.zbj.com/xq/CpCohz0KVZcB2Up3.html
写一个数据获取代码，抓取网页数据,已完结,1000元,数据分析,抓取这个网页的数据： http://liuyan.people.com.cn/forum/list,https://www.zbj.com/xq/8ahByRKSChPpuhwy.html
Hyperliquid抓取链上数据并分析,进行中,5000元,数据处理软件开发,【核心目标】 本次需求的核心是开发一款数据处理软件。 【具体要求】 开发模式为定制开发，软件功能为其他，使用GO语言进行，主要与Hyperliquid链进行交互，目前已经有现成的开发框架，包括需要抓取的数字字段及用于分析筛选的字段。,https://www.zbj.com/xq/6bqLwMglQVvJEe7K.html
一次性抓取单个网站的数据,进行中,300元,其他数据服务,- 抓取某个网站上的基础信息 - 非常简单，只是稍微耗时间一些 - 方式不限，但是要确保数据准确,https://www.zbj.com/xq/0lALvbXUxq7YDuz0.html
找人开发数据抓取工具,进行中,待服务商报价,数据处理软件开发,• 应用场景：给定三个网站，通过传输关键词后，从它们那里获取相关数据及其附件。,https://www.zbj.com/xq/YjNCg7wplsr1njwM.html
定制网页数据抓取处理软件开发招标,进行中,待服务商报价,数据处理软件开发,现招标定制开发一款网页数据抓取处理软件，功能方向为其他相关类，欢迎有相关经验的服务商投标，具体细节可进一步沟通。,https://www.zbj.com/xq/hgkiF8Zk3R3NUFL2.html
抓取特定网站一些数据,进行中,待服务商报价,数据开发,用python脚本编写程序，抓取指定某网站上的相关小区的测评和点评信息。 详细需求说明见文档,https://www.zbj.com/xq/PTptAuDe4erdK7zK.html
数据抓取， 整理清洗,进行中,待服务商报价,数据分析,需要长期固定合作，抓取网站或者APP数据特定， 整理形成结构化报告。,https://www.zbj.com/xq/UAnbMDrwUTz3FPd6.html
我需要网页数据抓取软件开发,进行中,待服务商报价,数据处理软件开发,网页数据抓取服务—不同设备类型（双向变流装置、能馈装置、充电装置、调度系统、能量管控平台等）的公开招投标数据，数量、价格、需求方、供货商等等 需要从招投标网页上抓取,https://www.zbj.com/xq/Fuxf0dVTwhUjF5xJ.html
python 抓取自己店铺电商的订单数据,进行中,300元,数据挖掘,抓取速卖通后台的订单数据，登入的反爬验证，如果比较难，可以人工介入输入账号密码； 1.输入账号密码登入速卖通卖家后台 这个地方可以停留，人工介入，输入订单筛选条件 2.抓取里面的销售订单数据。订单号 3.逐个进入每一笔订单，抓取里面的，订单金额，佣金，预计可得等等； 4.把抓取的数据保存到excel表中或者后台数据库中；,https://www.zbj.com/xq/XgMPYqJSRCHcOGHf.html
数据抓取,进行中,待服务商报价,其他数据服务,数据抓取,https://www.zbj.com/xq/QInHivb91TpBdUm1.html
数据抓取,进行中,5000元,网站定制开发,抓取指定网站数据，并按照规则建立模型。,https://www.zbj.com/xq/36aOyariGgwxLgMu.html
数据抓取,进行中,30000元,数据分析,我需要软件开发,https://www.zbj.com/xq/A68C21FSq6IzImjU.html
数据抓取,进行中,10000-15000元,其他数据服务,**行业，需要有杭州的****,https://www.zbj.com/xq/KMoyBaP4OLSicmlK.html
python数据抓取及图片抓取,进行中,1800元,数据开发,根据某一条件抓取，形成列表；将列表中到另一地址查询；将查询结果页面以图片形式进行保存。,https://www.zbj.com/xq/absRMkxuwArylEVW.html
信息数据抓取,进行中,500-1500元,数据计算,见需求，有成熟的经验再联系， 没做过，不会处理需求中的核心问题不要联系，以目标为导向，只能能实现不限语言,https://www.zbj.com/xq/a22h2oP3aRlO69mp.html
数据收集，数据抓取,进行中,500-1000元,其他微信开发,1、**小程序模拟**点击，抓取图片功能（有页面滚动的需要抓全图） 2、抓取小程序“研新生考研”》调剂天眼 3、抓取的数据：找院校、查专业、调剂天眼,https://www.zbj.com/xq/drKXNWTM66VwBfg4.html
开发数据抓取,进行中,8000元,数据开发,要用某个关键字定期搜索下社交网络，然后把搜索结果的标题导入数据库，并进行情感分析 社交网络 支持 B 微 抖 要有源代码，用python 语言，scrapy框架 针对网站的cookie部分可以用半自动的。我定期抓取登录后的cookie导入程序,https://www.zbj.com/xq/CQ06uTd7jR05ikN3.html
app数据抓取,进行中,待服务商报价,数据分析,• 应用场景：抓取APP,https://www.zbj.com/xq/rgs5t2Q04uHKdydG.html
数据抓取服务,进行中,200元,其他数据服务,我是个人 我喜欢玩ZHUCAI 我分析ZHUCAI喜欢用EXEL表格 我需要一个网络数据抓取工具，按照我需要的EXEL格式。,https://www.zbj.com/xq/571xbzpZWvnTJOxK.html
python数据抓取,进行中,100元,数据可视化,python数据抓取,https://www.zbj.com/xq/SOJzPYU34CW0IVkW.html
国外app数据抓取,进行中,3000元,数据开发,国外app，我们自己有登录账号和密码，要求抓取订单 api ，获取 店铺信息，配送距离，配送地址，骑手佣金信息 长期数据抓取，有需要可以部署到我们自己的服务器,https://www.zbj.com/xq/I4WGE08HVKz4Y5sQ.html
社媒app数据抓取,进行中,5000元,其他数据服务,采集各大主流社交平台数据,https://www.zbj.com/xq/C3LzNnrqXALq0DIB.html
网页数据抓取采集商品描述图片文件,已完结,1500元,数据获取,采集网站：三个品牌厂家官网 采集内容：商品描述信息、图片、PDF附件 商品数量：约9千个商品左右，3个站数量分别在5k、1.5k、2.5k 期望交付周期：1周左右 具体采集要求及说明见附件 真实需求！急！后续长期有需求~ 注意！需开票！ • 企业信息 所属行业：零售业 | 成立时间：1996年05月 | 公司规模 ：1000 - 4999,https://www.zbj.com/xq/CpCohz0KVZcB2Up3.html
写一个数据获取代码，抓取网页数据,已完结,1000元,数据分析,抓取这个网页的数据： http://liuyan.people.com.cn/forum/list,https://www.zbj.com/xq/8ahByRKSChPpuhwy.html
