商品名称,地址,价格
上海,598,去年购买的  女生自用闲置笔记
河北,1100,联想拯救者y7000-1060
四川,700,本人个人自用苹果电脑 MacB
江苏,315,笔记本电脑三个，两个联想，一个
河南,1930,83万跑分华为WX9游戏本，1
湖南,600,Thinkpad E450 i
广东,369,苹果MacBook Air A
吉林,550,荣耀MagicBook15笔记
四川,1390,微软Surface Pro 7
河北,450,MacBook Pro 13寸
广西,508,给钱就卖！ 成色新 16G大内
广东,549,雷神GT150T游戏笔记本电脑
福建,580,95新16+512，i5四核 
山东,420,戴尔Inspiron 5559
贵州,900,英特尔N5095笔记本，15.
江西,466,戴尔Inspiron i5-3
北京,899,苹果macbookpro 13
广东,300,联想Chromebook 14
江苏,699,联想ThinkPad S2 3
广东,1650,华为MateBook D15 
河南,600,小米笔记本15.6英寸，i5八
浙江,380,苹果笔记本i5/8G/256硬
山东,678,联想E520-15IKB 80
广东,899,忍痛出！26年个人原价5千多买
北京,333,惠普笔记本电脑  laptop
浙江,598,99新个人闲置，急出一台自用的
广东,399,联想y40p-80笔记本电脑，
上海,490,二手苹果电脑17寸 感兴趣的话
