学校,专业,代码,招生院系,总分,政治,外语,专业课一,专业课二,录取年份
上海工程技术大学,法学,03,不区分院系,326,45,45,68,68,2023
上海工程技术大学,理学,07,不区分院系,279,38,38,57,57,2023
上海工程技术大学,电子信息,0854,不区分院系,273,38,38,57,57,2023
上海工程技术大学,机械,0855,不区分院系,273,38,38,57,57,2023
上海工程技术大学,材料与化工,0856,不区分院系,273,38,38,57,57,2023
上海工程技术大学,资源与环境,0857,不区分院系,273,38,38,57,57,2023
上海工程技术大学,交通运输,0861,不区分院系,273,38,38,57,57,2023
上海工程技术大学,工学（不含工学照顾专业）,08,不区分院系,273,38,38,57,57,2023
上海工程技术大学,医学（不含中医类照顾专业）,10,不区分院系,296,39,39,117,0,2023
上海工程技术大学,工商管理,1251,不区分院系,167,0,41,82,0,2023
上海工程技术大学,公共管理,1252,不区分院系,175,0,44,88,0,2023
上海工程技术大学,管理学,12,不区分院系,340,47,47,71,71,2023
上海工程技术大学,艺术,1351,不区分院系,362,40,40,60,60,2023
上海工程技术大学,艺术学,13,不区分院系,362,40,40,60,60,2023
上海工程技术大学,法学,03,不区分院系,331,47,47,71,71,2024
上海工程技术大学,理学,07,不区分院系,288,41,41,62,62,2024
上海工程技术大学,电子信息,0854,不区分院系,273,37,37,56,56,2024
上海工程技术大学,机械,0855,不区分院系,273,37,37,56,56,2024
上海工程技术大学,材料与化工,0856,不区分院系,273,37,37,56,56,2024
上海工程技术大学,资源与环境,0857,不区分院系,273,37,37,56,56,2024
上海工程技术大学,交通运输,0861,不区分院系,273,37,37,56,56,2024
上海工程技术大学,工学（不含工学照顾专业）,08,不区分院系,273,37,37,56,56,2024
上海工程技术大学,医学（不含中医类照顾专业）,10,不区分院系,304,42,42,126,126,2024
上海工程技术大学,工商管理,1251,不区分院系,162,0,39,78,0,2024
上海工程技术大学,公共管理,1252,不区分院系,173,0,43,86,0,2024
上海工程技术大学,管理学,12,不区分院系,347,49,49,74,74,2024
上海工程技术大学,设计,1357,不区分院系,362,40,40,60,60,2024
上海工程技术大学,交叉学科,14,不区分院系,275,39,39,59,59,2024
上海工程技术大学,应用统计,0252,不区分院系,323,40,40,60,60,2025
上海工程技术大学,法学,03,不区分院系,323,40,40,60,60,2025
上海工程技术大学,理学,07,不区分院系,274,34,34,51,51,2025
上海工程技术大学,电子信息,0854,不区分院系,260,34,34,51,51,2025
上海工程技术大学,机械,0855,不区分院系,260,34,34,51,51,2025
上海工程技术大学,材料与化工,0856,不区分院系,260,34,34,51,51,2025
上海工程技术大学,资源与环境,0857,不区分院系,260,34,34,51,51,2025
上海工程技术大学,能源动力,0858,不区分院系,260,34,34,51,51,2025
上海工程技术大学,生物与医药,0860,不区分院系,260,34,34,51,51,2025
上海工程技术大学,交通运输,0861,不区分院系,260,34,34,51,51,2025
上海工程技术大学,工学（不含工学照顾专业）,08,不区分院系,260,34,34,51,51,2025
上海工程技术大学,医学（不含中医类照顾专业）,10,不区分院系,293,36,36,108,0,2025
上海工程技术大学,工商管理,1251,不区分院系,151,0,35,70,0,2025
上海工程技术大学,公共管理,1252,不区分院系,164,0,38,76,0,2025
上海工程技术大学,工程管理,1256,不区分院系,162,0,38,76,0,2025
上海工程技术大学,管理学,12,不区分院系,333,41,41,62,62,2025
上海工程技术大学,设计,1357,不区分院系,351,37,37,56,56,2025
上海工程技术大学,交叉学科,14,不区分院系,266,34,34,51,51,2025
上海工程技术大学,应用统计,025200,数理与统计学院,324,40,40,60,60,2026
上海工程技术大学,马克思主义理论,030500,马克思主义学院,321,40,40,60,60,2026
上海工程技术大学,统计学,071400,数理与统计学院,275,35,35,53,53,2026
上海工程技术大学,机械工程,080200,机械与汽车工程学院,264,35,35,53,53,2026
上海工程技术大学,光学工程,080300,数理与统计学院,264,35,35,53,53,2026
上海工程技术大学,材料科学与工程,080500,材料科学与工程学院,264,35,35,53,53,2026
上海工程技术大学,控制科学与工程,081100,电子电气工程学院,264,35,35,53,53,2026
上海工程技术大学,化学工程与技术,081700,化学化工学院,264,35,35,53,53,2026
